Currency ID,Name,Exchange,Exchange ID,Price USD,Market Cap,Volume
1,Bitcoin,Binance,3,3885.04 USD,67835040448.00,4865051265.14
2,Ethereum,Poloniex,2,150.08 USD,15633914672.00,2973184048.18
3,XRP,OKEx,4,0.36 USD,14881330219.00,496896850.70
4,Bitcoin Cash,Binance,3,164.54 USD,2887014594.00,264861424.90
5,EOS,Poloniex,2,2.72 USD,2466385543.00,717897342.02
6,Stellar,Bitstamp,1,0.12 USD,2219331148.00,99282421.19
7,Litecoin,Bitstamp,1,32.36 USD,1936926268.00,369545796.99
8,Tether,Poloniex,2,1.03 USD,1912955328.00,3949825180.57
9,Bitcoin SV,Poloniex,2,90.27 USD,1583796518.00,79139108.46
10,TRON,Bitstamp,1,0.02 USD,1370766638.00,92787562.10
11,Cardano,Binance,3,0.04 USD,1130961245.00,25276818.64
12,IOTA,Bitstamp,1,0.38 USD,1067481781.00,13932280.53
13,Monero,Bitstamp,1,50.59 USD,844568482.00,19799730.57
14,Binance Coin,Poloniex,2,6.01 USD,786173063.00,28377212.89
